"","DG_Down","DG_Up","Hippo_Down","Hippo_Up","Int_DdHd","Int_DdHu","Int_DuHd","Int_DuHu","Description"
"GO:0007610",2.26053005006722e-10,0.618769582665675,0.000521285356604224,0.912053944370665,0.00500620430001122,0.112209741323772,0.424905127846426,0.68366006116762,"behavior"
"GO:0045664",3.42132037781392e-07,0.189428430509787,0.00066154104845265,0.862111378499125,0.0111709178016211,0.335023150578514,0.94091646253413,0.51533782750849,"regulation of neuron differentiation"
"GO:0007268",4.80783509430511e-07,0.637160555074212,0.186867381967871,0.563755266571536,0.0419474576235121,0.117793987960097,0.787226267017343,0.54037505050241,"chemical synaptic transmission"
"GO:0098916",4.80783509430511e-07,0.637160555074212,0.186867381967871,0.563755266571536,0.0419474576235121,0.117793987960097,0.787226267017343,0.54037505050241,"anterograde trans-synaptic signaling"
"GO:0008015",5.35146593273276e-07,0.309899363904189,0.349309546321177,0.122882239534655,0.000690002088446511,0.159149574987289,0.501555564798281,0.0824239194686718,"blood circulation"
"GO:0003013",6.93554915779659e-07,0.324823494076248,0.364551201409381,0.13169554760901,0.0007329607246048,0.163903694759734,0.507023844160714,0.0848382659025971,"circulatory system process"
"GO:0007186",8.46389787397777e-07,0.400488885688934,0.325624866905279,0.941961594411867,0.03637948815257,0.703248043453721,0.0201006240141476,0.763270152020619,"G-protein coupled receptor signaling pathway"
"GO:0051962",1.68345885992359e-06,0.807738445854623,0.000201641843957874,0.980202801605333,0.0126399666455915,0.314873940975479,NA,0.887003158081957,"positive regulation of nervous system development"
"GO:0071709",8.24413652045367e-06,0.664277736473676,0.0171867998593096,NA,0.00508600450490574,NA,NA,NA,"membrane assembly"
"GO:0120035",9.53377759442947e-06,0.303880970745905,0.00216235169228923,0.784215095552995,0.00019062770822275,0.541470884021275,0.784378223416232,0.536251238788356,"regulation of plasma membrane bounded cell projection organization"
"GO:0061564",1.22937321780161e-05,0.275597761066882,0.000461280373200191,0.97495251352654,0.0154140751097152,0.19315394911496,0.667875105434799,0.184242571576666,"axon development"
"GO:0050769",1.4826842918395e-05,0.806633279014868,0.000935783771799445,0.984907804377691,0.0921323964369199,0.232195759845765,NA,0.853901955937129,"positive regulation of neurogenesis"
"GO:0061005",1.53958870614329e-05,0.778605204165213,0.0120960085460582,NA,NA,NA,NA,0.151493757466786,"cell differentiation involved in kidney development"
"GO:0010720",1.56322875372326e-05,0.908296640487277,0.000685502873192073,0.989146688669856,0.0420681054956636,0.30522564060015,NA,0.628440892515119,"positive regulation of cell development"
"GO:0010975",1.67522341785856e-05,0.244053373473816,0.00246279665755048,0.791320725636524,0.0140603408117332,0.332342324014747,0.896432086408187,0.375319612078361,"regulation of neuron projection development"
"GO:0007409",2.00045192387664e-05,0.389072764538398,0.000916294516438931,0.971559276970724,0.0106371750245205,0.28798670389063,0.623390333173437,0.150366072663174,"axonogenesis"
"GO:0045666",2.14715406777356e-05,0.838781141641074,0.00229043996119143,0.994026814088801,0.0537282843498711,0.137758560210087,NA,0.79651326022877,"positive regulation of neuron differentiation"
"GO:0098609",2.34732046177727e-05,0.610394834924236,0.0828699970149016,0.00167400925431993,0.00267481086626891,0.68746943265652,0.286430748330656,0.752893306748028,"cell-cell adhesion"
"GO:0048667",2.53906574956235e-05,0.310603156720387,0.00101676140328933,0.866373973534121,0.0088690401887745,0.474456236475212,0.747577140831905,0.262092932802496,"cell morphogenesis involved in neuron differentiation"
"GO:0032212",2.80836401037663e-05,NA,0.0159830277498976,0.788260088718149,0.0108988102551785,NA,NA,NA,"positive regulation of telomere maintenance via telomerase"
"GO:0050803",2.84014399578741e-05,0.851810919075186,0.0859943668071651,0.389959985178589,0.000777527849718834,NA,NA,NA,"regulation of synapse structure or activity"
"GO:0035249",2.89354273752225e-05,0.885723271403785,0.467681581775668,0.87269040341647,0.30982638414328,NA,0.339615971967042,0.335439263427129,"synaptic transmission, glutamatergic"
"GO:2000573",3.2291671574173e-05,0.942900479112065,0.128442966978684,0.75662963639667,0.0321891438207536,0.10131937583892,NA,0.267956421053014,"positive regulation of DNA biosynthetic process"
"GO:0072507",3.23391496804066e-05,0.107208381920541,0.496094422456149,0.49871959432193,NA,0.110992642820598,0.185201819049099,NA,"divalent inorganic cation homeostasis"
