"OR","pval","FDR","Bonf","Drug","Database","numGenesSet","numGenesSig"
2.61201333946874,1.04863887244058e-91,1.78792927751119e-88,1.78792927751119e-88,"VALPROIC-ACID","dsigdb",6498,965
2.57221575659692,3.05641958925308e-80,2.60559769983825e-77,5.21119539967651e-77,"trichostatin-A","dsigdb",4250,692
2.59255720662904,1.00582270139901e-69,5.71642568628436e-67,1.71492770588531e-66,"Retinoic-acid","dsigdb",3046,527
2.57613091319477,8.21628286073416e-67,3.50219056938793e-64,1.40087622775517e-63,"benzo[a]pyrene","dsigdb",2905,504
2.62496031967384,1.47189121683499e-63,5.0191490494073e-61,2.50957452470365e-60,"Tetradioxin","dsigdb",2477,444
0.266696759050284,2.31320000371599e-59,6.57334334389294e-57,3.94400600633576e-56,"RETINOIC-ACID","DGI",4900,150
0.269903462760374,1.62174521130726e-58,3.95010797896984e-56,2.76507558527889e-55,"SUNITINIB","DGI",4884,151
0.270204827025225,2.08968139844625e-58,4.45363348043858e-56,3.56290678435086e-55,"SORAFENIB","DGI",4880,151
0.273294587744327,2.83617574103016e-58,5.37297737606268e-56,4.83567963845642e-55,"N/A","DGI",4919,154
0.272649797201643,3.51877307007058e-58,5.99950808447033e-56,5.99950808447033e-55,"INSULIN","DGI",4901,153
0.285159564203771,5.64784800336304e-56,8.75416440521272e-54,9.62958084573399e-53,"BORTEZOMIB","DGI",4922,160
2.24539364985847,2.10955533465373e-46,2.99732653798717e-44,3.59679184558461e-43,"estradiol","dsigdb",2907,462
2.75630127041742,9.92583259406578e-44,1.30181112099094e-41,1.69235445728822e-40,"progesterone","dsigdb",1246,246
2.60844933109462,1.10268074021994e-37,1.34290761576786e-35,1.880070662075e-34,"Decitabine","dsigdb",1232,234
2.2633126074445,2.17016795760758e-36,2.46675757848061e-34,3.70013636772092e-33,"AFLATOXIN-B1","dsigdb",1957,325
1.97159888327171,3.55508262371494e-36,3.78838492089623e-34,6.06141587343397e-33,"cyclosporin-A","dsigdb",3718,528
1.9777308539382,9.57537439363632e-34,9.60353725949996e-32,1.63260133411499e-30,"acetaminophen","dsigdb",3238,468
2.0404998237793,3.43511095889592e-32,3.2538134360653e-30,5.85686418491754e-29,"7646-79-9","dsigdb",2570,388
2.26438299711079,1.36656770734364e-26,1.22631470580048e-24,2.32999794102091e-23,"VITAMIN-E","dsigdb",1294,221
2.04104308390023,5.48363809673741e-25,4.67480147746864e-23,9.34960295493728e-22,"vorinostat","dsigdb",1798,279
2.21312409415763,9.670057323e-25,7.85116558843571e-23,1.6487447735715e-21,"calcitriol","dsigdb",1286,216
2.38416147674922,1.52872527861247e-24,1.18476209092467e-22,2.60647660003426e-21,"Pirinixic-acid","dsigdb",978,176
1.87974433488497,1.88841740403606e-23,1.39989203212239e-21,3.21975167388149e-20,"quercetin","dsigdb",2407,345
1.66832957997975,1.58908048777831e-22,1.09361061748212e-20,2.70938223166202e-19,"Copper-sulfate","dsigdb",4697,585
2.71578064732517,1.60353462973917e-22,1.09361061748212e-20,2.73402654370529e-19,"Caspan","dsigdb",588,119
2.52806370650389,4.17658928926789e-21,2.73887874546221e-19,7.12108473820176e-18,"tamoxifen","dsigdb",676,129
2.36706657257116,2.6021662309077e-20,1.64321978655468e-18,4.43669342369762e-17,"raloxifene","dsigdb",798,144
1.92494648247875,4.92791424873104e-20,3.00074778360229e-18,8.40209379408642e-17,"scriptaid","dsigdb",1732,258
