"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"Count"	"Ontology"
"DG-GCL"	"GO:0045211"	"postsynaptic membrane"	"49/619"	"272/12395"	2.59032114185419e-15	1.49720561999172e-12	1.33060707076299e-12	49	"CC"
"DG-GCL"	"GO:0098978"	"glutamatergic synapse"	"53/619"	"319/12395"	6.13656478056036e-15	1.77346722158194e-12	1.57612821732287e-12	53	"CC"
"DG-GCL"	"GO:0097060"	"synaptic membrane"	"55/619"	"362/12395"	9.0514632332444e-14	1.74391524960509e-11	1.54986458169237e-11	55	"CC"
"DG-GCL"	"GO:0098984"	"neuron to neuron synapse"	"44/619"	"326/12395"	1.49550782556646e-09	2.16100880794353e-07	1.92054689178008e-07	44	"CC"
"DG-GCL"	"GO:0032279"	"asymmetric synapse"	"42/619"	"308/12395"	2.61133193328844e-09	3.01869971488143e-07	2.68279996514686e-07	42	"CC"
"DG-GCL"	"GO:0099572"	"postsynaptic specialization"	"43/619"	"325/12395"	4.27552547981078e-09	4.11875621221772e-07	3.66044988446958e-07	43	"CC"
"DG-GCL"	"GO:0014069"	"postsynaptic density"	"41/619"	"305/12395"	6.21029112807716e-09	5.127926102898e-07	4.557326421807e-07	41	"CC"
"DG-GCL"	"GO:0030424"	"axon"	"56/619"	"496/12395"	7.27539008945402e-09	5.25646933963053e-07	4.67156626796521e-07	56	"CC"
"DG-GCL"	"GO:0099634"	"postsynaptic specialization membrane"	"20/619"	"91/12395"	1.59618538758325e-08	1.02510572669235e-06	9.11039145193713e-07	20	"CC"
"DG-GCL"	"GO:0050808"	"synapse organization"	"42/595"	"329/11810"	2.349835736585e-08	9.45338916828145e-05	9.14209777096648e-05	42	"BP"
"DG-GCL"	"GO:0098839"	"postsynaptic density membrane"	"16/619"	"68/12395"	1.60211161793584e-07	9.26020515166914e-06	8.22979441634409e-06	16	"CC"
"DG-GCL"	"GO:0098936"	"intrinsic component of postsynaptic membrane"	"20/619"	"105/12395"	1.99632291605747e-07	1.04897695043747e-05	9.32254146445978e-06	20	"CC"
"DG-GCL"	"GO:0050807"	"regulation of synapse organization"	"27/595"	"179/11810"	2.90618292397596e-07	0.000584578695157765	0.000565329057211324	27	"BP"
"DG-GCL"	"GO:0099055"	"integral component of postsynaptic membrane"	"19/619"	"100/12395"	4.19148690989218e-07	2.01889952826473e-05	1.79425053686613e-05	19	"CC"
"DG-GCL"	"GO:0099240"	"intrinsic component of synaptic membrane"	"23/619"	"141/12395"	4.6716959052661e-07	2.077107871726e-05	1.84598186378126e-05	23	"CC"
"DG-GCL"	"GO:0099699"	"integral component of synaptic membrane"	"22/619"	"132/12395"	5.66487245054061e-07	2.33878305458034e-05	2.07853966606302e-05	22	"CC"
