sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
R10699	R10699	DG-GCL RNA Sample R10699	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10699_R1.fastq.gz	R10699_R2.fastq.gz
R10700	R10700	DG-GCL RNA Sample R10700	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10700_R1.fastq.gz	R10700_R2.fastq.gz
R10701	R10701	DG-GCL RNA Sample R10701	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10701_R1.fastq.gz	R10701_R2.fastq.gz
R10702	R10702	DG-GCL RNA Sample R10702	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10702_R1.fastq.gz	R10702_R2.fastq.gz
R10703	R10703	DG-GCL RNA Sample R10703	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10703_R1.fastq.gz	R10703_R2.fastq.gz
R10704	R10704	DG-GCL RNA Sample R10704	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10704_R1.fastq.gz	R10704_R2.fastq.gz
R10705	R10705	DG-GCL RNA Sample R10705	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10705_R1.fastq.gz	R10705_R2.fastq.gz
R10706	R10706	DG-GCL RNA Sample R10706	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10706_R1.fastq.gz	R10706_R2.fastq.gz
R10707	R10707	DG-GCL RNA Sample R10707	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10707_R1.fastq.gz	R10707_R2.fastq.gz
R10708	R10708	DG-GCL RNA Sample R10708	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10708_R1.fastq.gz	R10708_R2.fastq.gz
